order_id,products
17,21463 13107
34,39180 47792 47766 43504 39475 16083 44663 2596 21137
137,24852 5134 23794 41787 2326 25890 38689
182,11520 39275 33000 41149 5479 9337 13629 47209 47672 32109
257,49235 24852 27966 13870 37646 24838 29837 39475 45013 27104 21137 30233 28476
313,47626 13198 28535 21903 30391 45007 14077 46906 25890 12779
353,40688 35561
386,22124 21479 42265 4920 260 35221 24852 39180 37935 36695 40759 30450 25513 28985 8174 45066 17652 27156 6046 47766 21903 2326 38281 15872
414,21709 21230 4472 20392 21376 36865 14947 44292 20564 27845 31215 33320 31730 44632
418,30489 38694 47766 40268 41950
437,27966 13176 5769 1463 45106 4589 365 47209 30233 10132
452,13176 36735 30336 5206 4656 25371 36606 13166 28666 19370 40386 27553 5262 10036 19019 22935 21137 25340 47672 44632 23644 30388 27966 2923 12020 48395 24964 47209 36313 6046 18171 43504 17948 4421
474,None
492,8424 24499 24952 46667 13702 49683 49475 24852 24933 21137 43086 44632 28918 37766 33232 20542 40761 27323 29453 5250 4799 33198 26604 21903 31195 26315 14833 45603
497,39947 31964 1831 27275
513,None
517,8424 39619 24852 48679 37646 13198 21938 9387 21903 32734 44560 31371 9071 25890 24184 28946 13819 8518 8193 27355
604,16797 12099 24852 19660 13176
680,14836 30441 47977 27275 7693 7743 30353
758,651 19660
759,15269 24852 47626 6770 34841 1752 47766 5612 16959 39527 14651 14444 46654 4290 26209
887,24852 12144 39275 41665 18615 28993 22108 28204 28593 25647 21137 39758 49683 41290
1161,44142 47626 22935
1195,2707 13870
1304,17122 24852 23909 22035 42265 14218 42585
1408,1158 47626 10163 43352 47912 32433 2091 16428 31915 47209 46676
1513,16556 26250 29373 5385
1564,None
1727,40310 12218 28710 4210
1789,None
1802,8424 34824 11512 13176 20114 41665 38837 42736 42265 26209 4920 31338 35221 28849 31612 46175 21709 44514 890 43713 21137 10749 3896 17600 43295 34969 17871 45007 24841 3111 11368 2024 47209 47875 38944 16874 24838 17830 38313 13076
1809,5258 280 5068
1810,4862 6182 45007 19660 14355
1867,22317 39275 6568 23785 9020 38456 21386 14992 27307
1932,46485 21903 35417 30668
1962,43739 34148 21873 14715
2034,47626 15950 33527 42637 25540 13944 19678 27104 18502 2480 26209 18465 47209 9839
2070,24852 19986 25 47144 30391 12427 9076 5535 39322
2102,8571 45004
2184,20380 13176 31469 29447 12020 26914 47209
2247,11422 13176 19125 44359 18234 33198
2267,38569 46088
2297,None
2345,43758 32689 47626 13176 37141 18670 29268 16282 46807 4920 42803 35199 21137 28985
2421,10753 21462 26209 49683 12193 47626 6400 3957 5015 28465 13263 8548 28985 36493 11182 13409 34270 16797 47209 2592 46902 32578 43961 24799
2481,5322 24852 6343 19046 7500 28373 23288 36651 42368 2611 30795 20564 43421 27573 18465 29363 17779 18176 47196
2671,47626 13176 42828 21903 432 30884 25466 30850 3873 16303 30492 21137 47209 44632 10132
2721,24852 43772 43814 33129 45 12817 4086 1106 21137
2806,38511 19953 10957 47031
2887,24852 8518 13249 41950 45123
2990,39475 28204 42265 32734
3013,48220 38312 34358 42803 31635
3188,49235 13176 16757 36076 5785 21137 26856 38988
3221,49235 24852 27966 48775 47626 3849 21903 30391 45578 4945 30142 21137 43961 30252 9825
3223,48679 26209 4920 18362 24852 34668 38383 46847 28156 11777 39812 43086 23644 8277 33037 15626 13984 46206 14702 32387 36011 28745 10070 41950 21903 30391 28199 24184 30489
3265,15258 5884 24852 35914 27020
3344,16953 12911 29345 33000 47058 41277 32637 444 13966
3373,45154 33754
3384,40691 33802 41177 29506 5258 39947 39409 21137 21463
3408,3599 47626 13176 1090 43352 45066 22164 5479 21267 21137 19240
3507,42450
3519,None
3587,18362 40897 13176 20842 13287 15424 11885 40332 7358 28204 13029 19097 38079 40545 47940 27985 10613 7215
3702,47185 28571 27845
3724,10235 28931 12174 47144 35601
3732,2855 3957 24852 29077 21616
3839,8424 12206 24852 47626 11896 34969 17794 27845 21137 8193 35629
3866,27903 24852 5077
3867,42193 28682 49508 25817
3870,35470 14715
3962,38154
3981,24852 3765 37067 25466 22959 46906 4920 25340
4002,23288 12144 29801
4055,11182 7228 40706 30391 7916 27247 34836 40604 31668 14874 47209 45221 25521
4065,5818 28842 44142 9839 20114
4133,31717 18362 13176 39180 46667 36011 45570 47209 8518 41950 48940
4144,24535 31343 5764 36717 39877 22298 30391 38108 7806 46667 28199 5077 41588 5578 27104 27845 21137 21739
4353,48527 2234 44479 45747 47570 46041 6236 46676 38929 18394 40348 27323 16415 41148 49520 5258 25070 21410 35124 27360 21292 39561
4372,31343 49235 24852 17600 32689 17316 22035 20345 48171 42342 46584 5959 15995 18200 2078 21096
4396,49235 27086 6187 1940
4458,5456 14999 24852 44042 44765 33065 45954 16611 36425 9076 16965
4462,24748 16185 4313 26505 32520 39859 16254 385
4551,24852 27966 14764 39928 47630 41220 26209 39001 49683 43858
4579,15324
4602,8424 29950 40706 47766 21903 29307 27156 1560 329
4655,30776 32096 12492 13176 45633 47766 14086 32869 39468 45303 30529 35594 8021 39871 21137
4686,24852 47626 39993 2639 169 33548 5025 5727 35948 37803
4848,13176 27695
4917,7830 47626 21405 39877 11136 39001 38408 31562 21137
5007,43154 27839 11759
5011,37895 41276 24852 12909
5041,24852 41787 44910
5058,14783 24852 28427 18523
5082,13176 39275 5514 43875 48007 33719 37464
5095,19051 47660 24852 1117 16223 36393 24186 45061 29615 32566 6340 38200
5109,42282 4724 19348 30406 43352 6184 17313 31805 33147
5128,21608 25842 14168
5166,21709 24852 33037 5132 45066 13517 44632
5216,4605
5349,6286 15777 36431
5366,9339 47626 13176 5876 35921 12858 47717 42903 47209 10551 22227
5400,16387 36036
5415,13176 10258 5258 196 37710 6729 11759 42500
5525,34335 27086 22935 20710
